year,year,temp_mean_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms,crop_SOYBEANS,crop_WHEAT,state_INDIANA,state_IOWA,state_KANSAS,state_MINNESOTA,state_MISSOURI,state_NEBRASKA,state_OHIO
2010,2010.0,0.05291966171671595,0.5842170086934995,0.15002458780032932,-0.20442145245838722,-0.4840815500433205,0.47991791331105277,-0.6799797674780378,0.04652111180227124,-0.0016521048416182386,-0.6124079942028108,-0.006504990737862436,0.018519888446757175,0.1129951090804006,-0.014633158208988325
2011,2011.0,-1.4257207587884082,-1.6983088220232965,-0.5266490260210881,-1.1245618623091977,-0.35254124573646667,15.151758537446026,-4.895765051179355,-0.03809328463189121,-0.08308955320763767,-0.8212561183961915,-0.0028370405004936533,-0.013667965632459034,-0.17609630318287164,-0.015133368505008475
2012,2012.0,-8.993948012232345,-2.6688787397074245,0.16403608942976552,-0.0563080269567414,-0.6639906443779199,-1.7677751462638744,-0.9821316554735343,0.12067423439822456,0.15887971112626184,-0.7220917225065459,-0.022267044999553436,0.008691659375189545,0.11807163003457732,-0.10033764521004228
2013,2013.0,1.098580863543084,0.10827617144130727,-0.6308875910170323,-0.2555784916166973,-0.5272288410898116,1.1059876623318579,-2.8007840430012982,-0.005327490307691468,0.023022296311429515,1.3234603587269869,0.005896654733322843,-0.00011376512956212777,0.1371202892415788,0.026714089480991497
2014,2014.0,0.16416002886134878,1.4716760663566064,-0.022387722358567532,-0.25607174063848004,0.2107160308050073,3.623103923452596,-6.5490167786265445,0.09051837272965894,-0.020629291850275195,-1.121215365619782,0.00788563604448824,0.0021972959686663456,-0.1301321355910374,-0.026776385151673514
2015,2015.0,1.0230440899060673,0.49241697238972987,0.07837261341034515,0.24279486931844416,0.30925650138578203,10.473623728696094,-10.20498204174047,0.03764418154220225,-0.1508953834057726,-0.3381322115210032,-0.00298359220118533,0.006582063981291589,0.17988206128972445,0.046874178004288565
2016,2016.0,0.4160990607870096,1.8827096875542029,0.21638900496179903,0.3166694062319904,0.5950581850461153,2.8807672326699714,2.618877522390958,-0.017412060790232217,-0.01798498250187815,0.3879554620875332,0.010906900882322238,0.003992098772676376,0.07262874842299112,-0.10126289084091902
2017,2017.0,-1.0982305924110247,-0.3480264079958694,0.3157097193921014,0.25923581992498146,0.3311648894860361,-0.3804925971044251,-18.327086794562142,-0.028325128726818197,0.2800660020266554,0.08979466993620301,0.004610982627997417,0.0034967722348908242,0.049675300450544115,-0.04007934991705321
2018,2018.0,-1.3163990637144607,0.9150963836310763,-0.3100207030222155,0.19655611426542738,0.027841611700942924,-5.948492387098186,-0.9463307001716621,0.0005801927650894526,0.24518797985617952,0.9436253178829179,0.0044437571666062995,0.003335194990044237,0.045176844745086694,0.05793221247120807
2019,2019.0,-2.0593128960704297,1.944303397555589,-0.7029285430518841,-1.438192447487798,-1.4523688949136284,5.671011596175019,-5.79074798951683,-0.02140705274579769,0.32992267164216277,-0.740890898937631,0.0015901890983401118,0.0030849898815500858,0.00791494038209307,-0.05347158845203334
2020,2020.0,-1.114488874395728,-1.095777162349978,-0.034672313629030733,0.05790679850123568,0.03600933274886766,2.6578048446241085,-1.0935440181262626,0.012118803772555692,-0.0008241120990878429,-0.41361407524550503,-0.004407964612984054,-0.0005542491562580022,0.048182127570740405,-0.011016081484835601
2021,2021.0,1.8366413551814869,1.6203523841050775,0.5982737530683295,1.6385626491005612,0.5640305326646478,1.4686071327852415,-3.3235152347659,0.07082558566702049,0.2753128434516403,-1.251821971028897,0.019303157605299555,0.008159216881929469,0.16821820380732777,0.006275692896883866
2022,2022.0,0.5821429664057268,-1.3031542360891857,1.1151404755388308,0.7977581150752109,-0.7607287951191669,2.9034513126923533,0.08069718832070873,-0.041156459258720246,-0.3867959114253296,-0.06906638431608592,0.0,-0.012145238177047506,-0.11089872120943373,0.056610606451247006
2023,2023.0,-0.12194256402770993,-1.9679863256323278,0.9841728290544304,-0.3029336117531996,0.3754454723483726,10.520238412368837,-14.081594182089384,0.035364725307754453,-0.10425020170793588,0.22779278600504557,0.003953823715537898,0.0,-0.0323433145671511,0.016797259229212654
